"País","inflación","pbi","celulares"
"Corea, República de",0.471115116962764,2.17808658926315,129.6727883
"Costa Rica",2.54095145370013,1.64419088626954,169.9306983
"Côte d'Ivoire",0.228196311484382,4.10222634301955,134.8579514
"Croacia",1.77118185114836,3.6163642431529,105.5834549
"Cuba",1.00407709893717,2.2585896849249,47.39153727
"Curacao",2.58462453388601,-1.93654596608613,114.5239383
"Dinamarca",0.845682604608839,1.88489021571982,125.4530064
"Djibouti",1.00663283686646,6.73189536153372,41.19590415
"Dominica",3.62737965137698,2.02613137595806,105.7884817
"Ecuador",1.81887357109558,-0.483387784029688,92.32327021
"Egipto, República Árabe de",21.4262259194396,3.19443129839827,95.28659682
"El mundo árabe",7.881561144306,0.170654444603514,99.5087728904758
"El Salvador",2.0751836888099,1.91053750875901,146.9221022
"Emiratos Árabes Unidos",8.20653728779584,-0.320549385279065,208.5048332
"Eslovenia",2.22858811825321,3.74138502997641,118.6742271
"España",1.09310637486971,1.90370838533138,115.9942148
"Estados pequeos del Caribe",2.16464421557525,0.71973967894246,110.973817040804
"Estados Unidos",2.3596919352368,2.39109654413916,129.0140075
"Estonia",4.5287975063782,4.39718239266693,145.4384241
"Europa Central y del Báltico",3.31977875575407,4.62185455108197,124.323840442472
"Europa y Asia central",2.22858811825321,1.79649674948878,123.785221250467
"Europa y Asia central (BIRF y la AIF)",3.64355051878529,2.86769914931955,126.170217562326
"Europa y Asia central (excluido altos ingresos)",3.82791927401376,2.37298661772485,126.060837813055
"Federación de Rusia",11.1040226765653,2.5445897629142,157.431312
"Filipinas",3.74065382988688,4.86713156620144,126.1986393
"Finlandia",1.78724593225657,1.49536765647009,129.4685668
"Frágiles y situaciones de conflicto afectados",4.19033543534762,0.0532699643088392,75.8376698365171
"Francia",0.951860489887494,1.63852670152079,108.357357
"Gabón",7.14685932251797,-1.75503918821659,138.2809687
"Gambia",5.20261483114773,3.45318886171901,139.5290282
"Georgia",4.33422522782958,4.91088036824362,136.380667
"Ghana",10.2102029177803,3.95866714679696,137.5171658
"Granada",-0.307534605621314,3.59920846074021,104.2439033
"Grecia",0.549763603926422,2.14138550253047,115.6669118
"Groenlandia",0.0263910509948744,3.49254826083913,110.55972
"Guatemala",1.22859662060773,1.57621700497243,118.6670871
"Guinea",10.2764134263479,3.21509688980272,96.76749212
"Guinea Ecuatorial",11.1733402242711,-9.71677536516935,45.16686721
"Guinea-Bissau",-0.424897293140319,1.24347415339238,78.9888828
"Haití",12.7899934124778,0.199179706745653,57.52891844
"Honduras",1.90807980253712,1.98232777609925,79.15031642
"Hong Kong, Región Administrativa Especial",3.64275572439834,2.04292437544262,269.9337198
"Hungría",4.52869119976292,5.22733255137207,103.4451716
"India",4.55554436261933,5.02447333113413,86.94256319
"Indonesia",3.81974052399639,3.98405714717092,119.3387219
"Ingreso alto",2.12765981480346,1.74332535651575,127.625379476606
"Ingreso mediano",3.54360207959297,3.53503619806554,105.797542738134
