"País","pob_aglo","pob_ciudad","conta","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","Años Obligatorios de Educacion","Desempleo","celulares","2018_pbi","2018_infl"
"Cuba",18.843199826991,24.4599356510304,99.9999999999811,1.08,3.57,3.33,4.38,2.65,9,1.70000004768372,47.39153727,1.00407709893717,2.2585896849249
"Dinamarca",22.7978768427979,25.9438235351889,56.9144561104444,10,9.29,8.33,9.38,9.12,10,4.97499990463257,125.4530064,0.845682604608839,1.88489021571982
"Ecuador",27.6345957884163,26.5861487148008,98.3156239365569,8.75,5.36,6.11,4.38,7.65,15,3.52999997138977,92.32327021,1.81887357109558,-0.483387784029688
"El Salvador",17.2362891278643,23.9316479587026,100,9.17,4.29,5.56,3.75,7.06,15,4.00600004196167,146.9221022,2.0751836888099,1.91053750875901
"Emiratos Árabes Unidos",59.9724700312814,33.4262581877277,100,0,3.93,2.22,5,2.65,6,2.22900009155273,208.5048332,8.20653728779584,-0.320549385279065
"España",25.6235566347906,17.2849066510477,41.115549425172,9.17,7.14,7.78,7.5,8.82,10,15.2550001144409,115.9942148,1.09310637486971,1.90370838533138
"Estados Unidos",46.3258859113805,7.00333284743736,3.34317037021352,9.17,7.14,7.78,7.5,8.24,12,3.89599990844727,129.0140075,2.3596919352368,2.39109654413916
"Filipinas",14.2777061251648,26.9502658922642,96.3706587650922,9.17,5.71,7.22,4.38,7.06,13,2.33800005912781,126.1986393,3.74065382988688,4.86713156620144
"Finlandia",23.1908295221216,27.161260374759,0,10,8.93,8.33,8.75,9.71,10,7.36100006103516,129.4685668,1.78724593225657,1.49536765647009
"Francia",22.7643326951181,20.2356418476475,78.2135639205549,9.58,7.5,7.78,5.63,8.53,10,9.05900001525879,108.357357,0.951860489887494,1.63852670152079
"Georgia",28.909669509243,49.3069864298954,100,7.83,3.57,6.11,4.38,5,9,13.7849998474121,136.380667,4.33422522782958,4.91088036824362
"Ghana",18.4905668363887,18.3654162432694,100,8.33,5.71,6.67,6.25,6.18,11,4.15700006484985,137.5171658,10.2102029177803,3.95866714679696
"Grecia",29.4012363128561,37.1894505281076,99.9999999998588,9.58,5.36,6.11,6.88,8.53,10,19.2919998168945,115.6669118,0.549763603926422,2.14138550253047
"Guatemala",17.4411985110372,34.1622560501293,100,7.92,5.36,3.89,4.38,6.47,16,2.40199995040894,118.6670871,1.22859662060773,1.57621700497243
